,moverscore,number of Unique sentences,title,source
0,0.5353324472572434,1,the-last-of-the-mohicans-chapter-3-source-stable-16,cliffnotes
1,0.4898471511428933,1,the-last-of-the-mohicans-chapter-3-source-stable-4,cliffnotes
2,0.6040882695782811,1,the-last-of-the-mohicans-chapter-3-source-stable-13,cliffnotes
3,0.5555259433312485,1,the-last-of-the-mohicans-chapter-3-source-stable-15,cliffnotes
4,0.5192030085000561,1,the-last-of-the-mohicans-chapter-4-source-stable-4,cliffnotes
5,0.5278757609310311,1,the-last-of-the-mohicans-chapter-4-source-stable-10,cliffnotes
6,0.6140471575142448,1,the-last-of-the-mohicans-chapter-4-source-stable-5,cliffnotes
7,0.5076375172603729,1,the-last-of-the-mohicans-chapter-4-source-stable-9,cliffnotes
8,0.5720757176162525,1,the-last-of-the-mohicans-chapter-4-source-stable-13,cliffnotes
9,0.6014501419301518,1,the-last-of-the-mohicans-chapter-4-source-stable-19,cliffnotes
10,0.5979323697705516,1,the-last-of-the-mohicans-chapter-5-source-stable-1,cliffnotes
11,0.544432812398097,1,the-last-of-the-mohicans-chapter-5-source-stable-5,cliffnotes
12,0.5453379655228786,1,the-last-of-the-mohicans-chapter-5-source-stable-6,cliffnotes
13,0.5859310050355756,1,the-last-of-the-mohicans-chapter-5-source-stable-11,cliffnotes
14,0.6071345234697781,1,the-last-of-the-mohicans-chapter-5-source-stable-14,cliffnotes
15,0.5703599560502765,1,the-last-of-the-mohicans-chapter-5-source-stable-15,cliffnotes
16,0.5342153168005436,2,the-last-of-the-mohicans-chapter-6-source-stable-17,cliffnotes
17,0.5527230491901042,1,the-last-of-the-mohicans-chapter-6-source-stable-4,cliffnotes
18,0.5727705407658522,2,the-last-of-the-mohicans-chapter-6-source-stable-10,cliffnotes
19,0.5369639563527571,1,the-last-of-the-mohicans-chapter-6-source-stable-15,cliffnotes
20,0.5349457769136378,1,the-last-of-the-mohicans-chapter-6-source-stable-16,cliffnotes
21,0.5796420170620097,1,the-last-of-the-mohicans-chapter-6-source-stable-19,cliffnotes
22,0.5077921031335837,1,the-last-of-the-mohicans-chapter-6-source-stable-20,cliffnotes
23,0.536351824213194,1,the-last-of-the-mohicans-chapter-9-source-stable-7,cliffnotes
24,0.5276343708192869,1,the-last-of-the-mohicans-chapter-9-source-stable-6,cliffnotes
25,0.5479613165780413,1,the-last-of-the-mohicans-chapter-9-source-stable-9,cliffnotes
26,0.561837514992783,1,the-last-of-the-mohicans-chapter-12-source-stable-15,cliffnotes
27,0.5528964139472498,1,the-last-of-the-mohicans-chapter-12-source-stable-6,cliffnotes
28,0.5327937313924251,1,the-last-of-the-mohicans-chapter-12-source-stable-4,cliffnotes
29,0.5788933835364056,1,the-last-of-the-mohicans-chapter-15-source-stable-7,cliffnotes
30,0.5753284008687858,1,the-last-of-the-mohicans-chapter-15-source-stable-15,cliffnotes
31,0.5997352197455306,2,the-last-of-the-mohicans-chapter-15-source-stable-19,cliffnotes
32,0.539745811165909,1,the-last-of-the-mohicans-chapter-16-source-stable-1,cliffnotes
33,0.5118230919151023,1,the-last-of-the-mohicans-chapter-16-source-stable-2,cliffnotes
34,0.557413489502883,1,the-last-of-the-mohicans-chapter-16-source-stable-5,cliffnotes
35,0.5718437337429656,1,the-last-of-the-mohicans-chapter-16-source-stable-18,cliffnotes
36,0.5305702876815146,1,the-last-of-the-mohicans-chapter-16-source-stable-21,cliffnotes
37,0.5224690091139642,1,the-last-of-the-mohicans-chapter-17-source-stable-18,cliffnotes
38,0.5386910893838704,1,the-last-of-the-mohicans-chapter-17-source-stable-29,cliffnotes
39,0.537186146211461,1,the-last-of-the-mohicans-chapter-17-source-stable-30,cliffnotes
40,0.5293432370368949,1,the-last-of-the-mohicans-chapter-17-source-stable-20,cliffnotes
41,0.5366613798324062,1,the-last-of-the-mohicans-chapter-22-source-stable-0,cliffnotes
42,0.5740170819048384,1,the-last-of-the-mohicans-chapter-22-source-stable-7,cliffnotes
43,0.6456179769609609,1,the-last-of-the-mohicans-chapter-22-source-stable-16,cliffnotes
44,0.5327127930442994,1,the-last-of-the-mohicans-chapter-22-source-stable-18,cliffnotes
45,0.6263411156330496,1,the-last-of-the-mohicans-chapter-22-source-stable-21,cliffnotes
46,0.538756627912172,1,the-last-of-the-mohicans-chapter-22-source-stable-23,cliffnotes
47,0.57252314299866,2,the-last-of-the-mohicans-chapter-25-source-stable-3,cliffnotes
48,0.5324890607616759,1,the-last-of-the-mohicans-chapter-25-source-stable-20,cliffnotes
49,0.6272797234571299,1,the-last-of-the-mohicans-chapter-25-source-stable-17,cliffnotes
